sample	unit	lane	fq1	fq2
BM_B	Rep1	SRR3152806	SRR3152806_1.fastq.gz	SRR3152806_2.fastq.gz
BM_B	Rep2	SRR3152807	SRR3152807_1.fastq.gz	SRR3152807_2.fastq.gz
BM_CLP	Rep1	SRR3152808	SRR3152808_1.fastq.gz	SRR3152808_2.fastq.gz
BM_CLP	Rep2	SRR3152809	SRR3152809_1.fastq.gz	SRR3152809_2.fastq.gz
BM_HSC	Rep1	SRR3152810	SRR3152810_1.fastq.gz	SRR3152810_2.fastq.gz
BM_HSC	Rep2	SRR3152811	SRR3152811_1.fastq.gz	SRR3152811_2.fastq.gz
BM_ILC2p	Rep1	SRR3152812	SRR3152812_1.fastq.gz	SRR3152812_2.fastq.gz
BM_ILC2p	Rep2	SRR3152813	SRR3152813_1.fastq.gz	SRR3152813_2.fastq.gz
BM_iNK	Rep1	SRR3152814	SRR3152814_1.fastq.gz	SRR3152814_2.fastq.gz
BM_iNK	Rep2	SRR3152815	SRR3152815_1.fastq.gz	SRR3152815_2.fastq.gz
BM_mem_CD8	Rep1	SRR3152816	SRR3152816_1.fastq.gz	SRR3152816_2.fastq.gz
BM_mem_CD8	Rep2	SRR3152817	SRR3152817_1.fastq.gz	SRR3152817_2.fastq.gz
BM_MPP	Rep1	SRR3152818	SRR3152818_1.fastq.gz	SRR3152818_2.fastq.gz
BM_MPP	Rep2	SRR3152819	SRR3152819_1.fastq.gz	SRR3152819_2.fastq.gz
BM_NKp	Rep1	SRR3152822	SRR3152822_1.fastq.gz	SRR3152822_2.fastq.gz
BM_NKp	Rep2	SRR3152823	SRR3152823_1.fastq.gz	SRR3152823_2.fastq.gz
BM_Nve_CD8	Rep1	SRR3152820	SRR3152820_1.fastq.gz	SRR3152820_2.fastq.gz
BM_Nve_CD8	Rep2	SRR3152821	SRR3152821_1.fastq.gz	SRR3152821_2.fastq.gz
GT_CCR6_neg_CD25_neg_DN		SRR3152824	SRR3152824_1.fastq.gz	SRR3152824_2.fastq.gz
GT_CCR6_pos_SP		SRR3152825	SRR3152825_1.fastq.gz	SRR3152825_2.fastq.gz
GT_CD25_pos_SP		SRR3152826	SRR3152826_1.fastq.gz	SRR3152826_2.fastq.gz
GT_CD4_pos_ILC3	Rep1	SRR3152827	SRR3152827_1.fastq.gz	SRR3152827_2.fastq.gz
GT_CD4_pos_ILC3	Rep2	SRR3152828	SRR3152828_1.fastq.gz	SRR3152828_2.fastq.gz
GT_IL17GFP_pos		SRR3152829	SRR3152829_1.fastq.gz	SRR3152829_2.fastq.gz
GT_ILC2_IL33_IL25	Rep1	SRR3152832	SRR3152832_1.fastq.gz	SRR3152832_2.fastq.gz
GT_ILC2_IL33_IL25	Rep2	SRR3152833	SRR3152833_1.fastq.gz	SRR3152833_2.fastq.gz
GT_ILC2	Rep1	SRR3152830	SRR3152830_1.fastq.gz	SRR3152830_2.fastq.gz
GT_ILC2	Rep2	SRR3152831	SRR3152831_1.fastq.gz	SRR3152831_2.fastq.gz
GT_NCR_pos_ILC3_IL23	Rep1	SRR3152836	SRR3152836_1.fastq.gz	SRR3152836_2.fastq.gz
GT_NCR_pos_ILC3_IL23	Rep2	SRR3152837	SRR3152837_1.fastq.gz	SRR3152837_2.fastq.gz
GT_NCR_pos_ILC3	Rep1	SRR3152834	SRR3152834_1.fastq.gz	SRR3152834_2.fastq.gz
GT_NCR_pos_ILC3	Rep2	SRR3152835	SRR3152835_1.fastq.gz	SRR3152835_2.fastq.gz
LU_ILC2	Rep1	SRR3152838	SRR3152838_1.fastq.gz	SRR3152838_2.fastq.gz
LU_ILC2	Rep2	SRR3152839	SRR3152839_1.fastq.gz	SRR3152839_2.fastq.gz
LU_Th2	Rep1	SRR3152840	SRR3152840_1.fastq.gz	SRR3152840_2.fastq.gz
LU_Th2	Rep2	SRR3152841	SRR3152841_1.fastq.gz	SRR3152841_2.fastq.gz
LV_ILC1	Rep1	SRR3152842	SRR3152842_1.fastq.gz	SRR3152842_2.fastq.gz
LV_ILC1	Rep2	SRR3152843	SRR3152843_1.fastq.gz	SRR3152843_2.fastq.gz
LV_NK	Rep1	SRR3152844	SRR3152844_1.fastq.gz	SRR3152844_2.fastq.gz
LV_NK	Rep2	SRR3152845	SRR3152845_1.fastq.gz	SRR3152845_2.fastq.gz
Sp_NK_IL2_IL12	Rep1	SRR3152850	SRR3152850_1.fastq.gz	SRR3152850_2.fastq.gz
Sp_NK_IL2_IL12	Rep2	SRR3152851	SRR3152851_1.fastq.gz	SRR3152851_2.fastq.gz
Sp_NK	Rep1	SRR3152848	SRR3152848_1.fastq.gz	SRR3152848_2.fastq.gz
Sp_NK	Rep2	SRR3152849	SRR3152849_1.fastq.gz	SRR3152849_2.fastq.gz
Sp_Nve_CD4_pos	Rep1	SRR3152846	SRR3152846_1.fastq.gz	SRR3152846_2.fastq.gz
Sp_Nve_CD4_pos	Rep2	SRR3152847	SRR3152847_1.fastq.gz	SRR3152847_2.fastq.gz
